flow,stage,n_obs,pref.average,pci2,segment,minimally.acceptable.flow,maximally.acceptable.flow
274.07464929069,0.75,26,-2,0,White Mile Run,1012.5718704161,NA
309.504947300995,1,26,-1.88461538461538,0,White Mile Run,1012.5718704161,NA
354.810462113751,1.25,26,-1.84615384615385,0,White Mile Run,1012.5718704161,NA
409.942825510225,1.5,26,-1.80769230769231,0,White Mile Run,1012.5718704161,NA
474.862809737733,1.75,26,-1.61538461538462,0.133136094674556,White Mile Run,1012.5718704161,NA
549.537425400761,2,26,-1.46153846153846,0.316568047337278,White Mile Run,1012.5718704161,NA
633.93821509552,2.25,26,-1.26923076923077,0.368343195266272,White Mile Run,1012.5718704161,NA
728.040163686563,2.5,26,-1.15384615384615,0.346153846153846,White Mile Run,1012.5718704161,NA
831.820959569968,2.75,26,-0.730769230769231,0.349112426035503,White Mile Run,1012.5718704161,NA
945.260470642831,3,26,-0.192307692307692,0.502958579881657,White Mile Run,1012.5718704161,NA
1201.04378978124,3.5,26,0.538461538461538,0.369822485207101,White Mile Run,1012.5718704161,NA
1495.2601436044,4,26,1.5,0.384615384615385,White Mile Run,1012.5718704161,NA
1827.79741056328,4.5,26,1.53846153846154,0.189349112426035,White Mile Run,1012.5718704161,NA
2198.55703157087,5,26,1.61538461538462,0.301775147928994,White Mile Run,1012.5718704161,NA
2607.45109939529,5.5,26,1.42307692307692,0.266272189349112,White Mile Run,1012.5718704161,NA
233.120065568106,0.25,18,-2,0,Spencer Heights,665.305531292534,NA
248.58266063736,0.5,18,-2,0,Spencer Heights,665.305531292534,NA
274.07464929069,0.75,18,-2,0,Spencer Heights,665.305531292534,NA
309.504947300995,1,18,-1.77777777777778,0,Spencer Heights,665.305531292534,NA
354.810462113751,1.25,18,-1.66666666666667,0.148148148148148,Spencer Heights,665.305531292534,NA
409.942825510225,1.5,18,-1.38888888888889,0.182098765432099,Spencer Heights,665.305531292534,NA
474.862809737733,1.75,19,-0.947368421052632,0.225,Spencer Heights,665.305531292534,NA
549.537425400761,2,19,-0.631578947368421,0.280555555555556,Spencer Heights,665.305531292534,NA
633.93821509552,2.25,19,-0.105263157894737,0.527777777777778,Spencer Heights,665.305531292534,NA
728.040163686563,2.5,19,0.210526315789474,0.455555555555556,Spencer Heights,665.305531292534,NA
831.820959569968,2.75,19,0.526315789473684,0.411111111111111,Spencer Heights,665.305531292534,NA
945.260470642831,3,19,0.842105263157895,0.505555555555556,Spencer Heights,665.305531292534,NA
1201.04378978124,3.5,20,0.95,0.2925,Spencer Heights,665.305531292534,NA
1495.2601436044,4,19,1.26315789473684,0.466666666666667,Spencer Heights,665.305531292534,NA
1827.79741056328,4.5,18,0.777777777777778,0.759259259259259,Spencer Heights,665.305531292534,NA
2198.55703157087,5,18,0.555555555555556,0.827160493827161,Spencer Heights,665.305531292534,NA
2607.45109939529,5.5,18,0.5,0.771604938271605,Spencer Heights,665.305531292534,NA
50,NA,16,-1.9375,0,Big South,170.100502512563,NA
100,NA,16,-1.4375,0.20703125,Big South,170.100502512563,NA
150,NA,17,-0.294117647058824,0.385416666666667,Big South,170.100502512563,NA
200,NA,16,0.4375,0.4921875,Big South,170.100502512563,NA
250,NA,16,1,0.33984375,Big South,170.100502512563,NA
300,NA,16,1.25,0.41015625,Big South,170.100502512563,NA
350,NA,15,1.53333333333333,0.40625,Big South,170.100502512563,NA
400,NA,15,1.26666666666667,0.522321428571429,Big South,170.100502512563,NA
450,NA,14,1.42857142857143,0.418367346938776,Big South,170.100502512563,NA
